"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Forty Creek Confederation Oak (Batch C, D)","8.97","0.31","3","$$$","Rye-like","","","Canada","Blend"
"Michter's Barrel Strength Rye","8.97","0.22","4","$$$$","Rye-like","","","USA","Rye"
"Van Winkle Family Reserve Rye 13yo","8.96","0.33","8","$$$$$+","Rye-like","","","USA","Rye"
"Willett Family Estate 6yo Rye","8.95","0.18","4","$$$$","Rye-like","","","USA","Rye"
"Sazerac 18yo","8.93","0.36","13","$$$$$+","Rye-like","","","USA","Rye"
"High West Rendezvous Rye","8.91","0.30","14","$$$$","Rye-like","","","USA","Rye"
"Lot 40","8.90","0.35","20","$$","Rye-like","","","Canada","Rye"
"High West Bourye","8.88","0.16","7","$$$$","Rye-like","","","USA","Blend"
"Amrut Rye","8.87","0.13","4","$$$$","Rye-like","","","India","Rye"
"Masterson's Straight Rye 10yo","8.87","0.40","17","$$$$","Rye-like","","","Canada","Rye"
"J.P. Wiser's Dissertation","8.86","0.28","3","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Union 52","8.86","0.36","7","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s Red Letter","8.85","0.35","11","$$$$","Rye-like","","","Canada","Blend"
"Forty Creek Evolution","8.84","0.61","7","$$$","Rye-like","","","Canada","Blend"
"Whistlepig 10yo","8.83","0.42","16","$$$$","Rye-like","","","Canada","Blend"
"Crown Royal Hand Selected Barrel","8.82","0.26","8","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (Batch A, B)","8.82","0.42","16","$$$","Rye-like","","","Canada","Blend"
"Michter's 10yo Single Barrel Rye","8.82","0.30","5","$$$$$+","Rye-like","","","USA","Rye"
"Forty Creek Heart of Gold","8.81","0.43","8","$$$$","Rye-like","","","Canada","Blend"
"Forty Creek Port Wood Reserve 2011/2012","8.81","0.25","10","$$$$","Rye-like","","","Canada","Blend"
"Whistlepig The Boss Hog","8.81","0.28","9","$$$$$","Rye-like","","","Canada","Blend"
"Highwood Ninety Rye 20yo","8.80","0.33","10","$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 4yo Rye","8.8","0.49","7","$$$","Rye-like","","","USA","Rye"
"Forty Creek Confederation Oak (All Batches)","8.79","0.39","18","$$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 25yo Rye","8.77","0.49","3","$$$$$+","Rye-like","","","USA","Rye"
"Crown Royal Monarch 75th Anniversary","8.76","0.48","9","$$$","Rye-like","","","Canada","Blend"
"Century Reserve 21yo","8.74","0.20","10","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Rum-finished","8.74","0.20","4","$$","Rye-like","","","Canada","Blend"
"Pikesville Straight Rye","8.74","0.49","13","$$$$","Rye-like","","","USA","Rye"
"Colonel E.H. Taylor Straight Rye","8.72","0.32","6","$$$$","Rye-like","","","USA","Rye"
"Crown Royal XO","8.72","0.30","5","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Copper Pot Reserve","8.72","0.36","13","$","Rye-like","","","Canada","Blend"
"Forty Creek Double Barrel Reserve","8.72","0.39","12","$$$","Rye-like","","","Canada","Blend"
"Millstone 100 Rye","8.72","0.30","9","$$$$","Rye-like","","","Netherlands","Rye"
"Willett Family Estate 3yo Rye","8.71","0.45","5","$$$","Rye-like","","","USA","Rye"
"Willett Family Estate Rye (all ages)","8.71","0.28","12","$$$$","Rye-like","","","USA","Rye"
"High West Double Rye","8.70","0.29","13","$$","Rye-like","","","USA","Rye"
"Michter's Single Barrel Straight Rye","8.70","0.44","10","$$$","Rye-like","","","USA","Rye"
"Gooderham & Worts Four Grain","8.69","0.25","10","$$","Rye-like","","","Canada","Blend"
"Russell's Reserve 6yo Rye","8.69","0.28","7","$$$","Rye-like","","","USA","Rye"
"Alberta Rye Dark Batch","8.68","0.23","8","$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Single Barrel Rye","8.68","0.24","4","$$$","Rye-like","","","USA","Rye"
"High West Yippee Ki-Yay","8.66","0.31","6","$$$$","Rye-like","","","USA","Rye"
"J.P. Wiser’s 18yo","8.66","0.39","14","$$$","Rye-like","","","Canada","Blend"
"Masterson's Straight Wheat 12yo","8.64","0.23","9","$$$$","Rye-like","","","Canada","Wheat"
"Canadian Club 20yo","8.63","0.31","10","$$$","Rye-like","","","Canada","Blend"
"FEW Rye Whisky","8.63","0.55","7","$$$$","Rye-like","","","USA","Rye"
"Jefferson's Straight Rye 10yo","8.62","0.36","7","$$$","Rye-like","","","USA","Rye"
"Alberta Premium Dark Horse","8.61","0.37","15","$","Rye-like","","","Canada","Blend"
"Caribou Crossing Single Barrel","8.61","0.42","10","$$$$","Rye-like","","","Canada","Blend"
"Danfield's 21yo","8.61","0.54","12","$$","Rye-like","","","Canada","Blend"
"Sazerac Straight Rye","8.59","0.46","13","$$","Rye-like","","","USA","Rye"
"Crown Royal Northern Harvest Rye","8.58","0.35","16","$$","Rye-like","","","Canada","Blend"
"Rittenhouse Rye 100 Proof","8.58","0.23","15","$$","Rye-like","","","USA","Rye"
"Masterson's Straight Barley 10yo","8.57","0.61","7","$$$$","Rye-like","","","Canada","Barley"
"Smooth Ambler Old Scout 7yo Rye","8.56","0.36","6","$$$","Rye-like","","","USA","Rye"
"Stalk & Barrel Rye","8.56","0.2","5","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Triple Barrel Rye","8.55","0.55","3","$","Rye-like","","","Canada","Blend"
"Knob Creek Small Batch Straight Rye Whiskey","8.55","0.38","16","$$$","Rye-like","","","USA","Rye"
"Collingwood 21yo","8.54","0.42","11","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Reserve","8.53","0.65","13","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (Batch E, F)","8.53","0.29","5","$$$","Rye-like","","","Canada","Blend"
"George Dickel Rye","8.53","0.35","12","$$","Rye-like","","","USA","Rye"
"J.P. Wiser's Small Batch","8.53","0.25","11","$","Rye-like","","","Canada","Blend"
"Forty Creek Founder's Reserve","8.51","0.40","5","$$$","Rye-like","","","Canada","Blend"
"High West Double Rye Campfire Barrel","8.49","0.30","4","$$$","Rye-like","","","USA","Rye"
"Woodford Reserve Straight Rye","8.49","0.24","9","$$","Rye-like","","","USA","Rye"
"Forty Creek Barrel Select","8.48","0.41","16","$","Rye-like","","","Canada","Blend"
"Jim Beam Pre-Prohibition Rye","8.47","0.37","6","$","Rye-like","","","USA","Rye"
"Willett Family Estate 2yo Rye","8.46","0.3","7","$$$","Rye-like","","","USA","Rye"
"Prichard’s Rye","8.45","0.29","3","$$$$","Rye-like","","","USA","Rye"
"Wild Turkey 101 Rye","8.45","0.3","8","$$","Rye-like","","","USA","Rye"
"High West Son of Bourye","8.42","0.42","10","$$$","Rye-like","","","USA","Blend"
"Potter's Special Old","8.41","0.43","4","$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Red Blend","8.41","0.5","4","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye (Cask Strength)","8.39","0.55","4","$$$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 10yo","8.38","0.61","9","$$","Rye-like","","","Canada","Blend"
"Centennial 10yo","8.36","0.41","6","$","Rye-like","","","Canada","Blend"
"Century Reserve Lot 15/25","8.36","0.85","5","$","Rye-like","","","Canada","Blend"
"Crown Royal Cornerstone Blend","8.36","0.80","4","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Double Still Rye","8.35","0.37","8","$","Rye-like","","","Canada","Blend"
"Pendleton 1910","8.35","0.47","8","$$","Rye-like","","","Canada","Blend"
"Canadian Club 100% Rye","8.34","0.42","14","$","Rye-like","","","Canada","Rye"
"Gibson's Bold 8yo","8.34","0.28","3","$","Rye-like","","","Canada","Blend"
"Jack Daniel's Rested Tennessee Rye (Batch 1/2)","8.34","0.47","4","$$$","Rye-like","","","USA","Rye"
"66 Gilead Crimson Rye","8.32","0.47","6","$$","Rye-like","","","Canada","Blend"
"Yellow Rose Straight Rye","8.31","0.53","5","$$$","Rye-like","","","USA","Rye"
"Alberta Springs 10yo","8.30","0.42","9","$","Rye-like","","","Canada","Blend"
"Bulleit Rye","8.29","0.64","16","$$","Rye-like","","","USA","Rye"
"Crown Royal Limited Edition","8.29","0.19","10","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Port-finished","8.29","0.49","12","$$","Rye-like","","","Canada","Blend"
"Forty Creek Three Grain Harmony","8.26","0.49","7","$$$","Rye-like","","","Canada","Blend"
"Alberta Premium","8.24","0.56","11","$","Rye-like","","","Canada","Blend"
"Canadian Club Sherry Cask","8.22","0.60","8","$$","Rye-like","","","Canada","Blend"
"Crown Royal Black","8.22","0.49","16","$$","Rye-like","","","Canada","Blend"
"Hiram Walker Special Old Rye","8.21","0.37","9","$","Rye-like","","","Canada","Blend"
"Stalk & Barrel 11+1 Canadian whisky","8.21","0.42","16","$$","Rye-like","","","Canada","Blend"
"Highwood Ninety 5yo","8.17","0.67","6","$","Rye-like","","","Canada","Blend"
"Canadian Club Classic 12yo (Small Batch)","8.13","0.44","13","$","Rye-like","","","Canada","Blend"
"Canada Gold","8.10","0.66","5","$","Rye-like","","","Canada","Blend"
"Coyote Ugly","8.10","0.50","5","$","Rye-like","","","Canada","Blend"
"Wayne Gretzky No. 99 Red Cask","8.09","0.32","5","$$","Rye-like","","","Canada","Blend"
"Canadian Mist Black Diamond","8.08","0.51","6","$","Rye-like","","","Canada","Blend"
"Koval Single Barrel Rye","8.08","0.31","5","$$$","Rye-like","","","USA","Rye"
"J.P. Wiser's Hopped","8.07","0.52","5","$","Rye-like","","","Canada","Blend"
"Royal Canadian Small Batch","8.04","0.36","12","$$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 9yo","8.03","0.45","5","$","Rye-like","","","Canada","Blend"
"Collingwood","8.03","0.32","8","$$","Rye-like","","","Canada","Blend"
"Gibson's Finest Sterling","8.03","0.36","8","$","Rye-like","","","Canada","Blend"
"Templeton Rye","8.02","0.39","7","$$$","Rye-like","","","USA","Rye"
"Pendleton (Let'er Buck)","8.00","0.50","14","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s Rye","7.97","0.47","8","$","Rye-like","","","Canada","Blend"
"Gibson's Finest 12yo","7.95","0.76","11","$","Rye-like","","","Canada","Blend"
"Lohin McKinnon","7.94","0.10","3","$$$","Rye-like","","","Canada","Rye"
"Jim Beam Rye","7.93","0.64","9","$","Rye-like","","","USA","Rye"
"J.P. Wiser's Deluxe","7.91","0.67","10","$","Rye-like","","","Canada","Blend"
"Schenley Golden Wedding","7.88","0.70","9","$","Rye-like","","","Canada","Blend"
"Seagram's VO","7.80","0.69","9","$","Rye-like","","","Canada","Blend"
"Rich and Rare Reserve","7.79","0.50","7","$","Rye-like","","","Canada","Blend"
"Black Velvet 3yo","7.76","0.89","9","$","Rye-like","","","Canada","Blend"
"Silk Tassel","7.73","0.71","4","$","Rye-like","","","Canada","Blend"
"Rich and Rare","7.70","0.60","5","$","Rye-like","","","Canada","Blend"
"Canadian Mist","7.63","0.62","11","$","Rye-like","","","Canada","Blend"
"Crown Royal","7.61","0.46","17","$","Rye-like","","","Canada","Blend"
"8 Seconds","7.54","0.45","5","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Special Blend","7.42","0.80","5","$","Rye-like","","","Canada","Blend"
"Seagram's Canadian 83","7.36","0.81","7","$","Rye-like","","","Canada","Blend"
"Canadian Club (Premium)","7.33","0.75","17","$","Rye-like","","","Canada","Blend"
"Black Velvet Reserve 8yo","7.27","0.64","3","$","Rye-like","","","Canada","Blend"
"Proof Whisky","7.23","0.80","9","$$","Rye-like","","","Canada","Blend"
"Black Velvet Deluxe","7.15","0.75","8","$","Rye-like","","","Canada","Blend"
"Ellington Reserve 8yo","6.93","1.04","4","$","Rye-like","","","Canada","Blend"
"Willett Family Estate 22yo Bourbon","9.33","0.11","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 2nd 27yo Kentucky Straight Boubon","9.28","0.38","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 20yo","9.25","0.35","12","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 15yo","9.24","0.24","10","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 21yo","9.19","0.17","5","$$$$$+","Bourbon-like","","","USA","Bourbon"
"George T Stagg","9.17","0.30","19","$$$$$+","Bourbon-like","","","USA","Bourbon"
"William Larue Weller","9.17","0.25","11","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 7th 10yo Promise of Hope","9.15","0.18","7","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 4th 10yo Wheated Mash Bill Bourbon","9.09","0.22","5","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Four Roses Small Batch Limited Edition","9.08","0.20","13","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)","9.07","0.23","5","$$$$$","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 6th Blend of Mashbills","9.05","0.11","6","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 5th 10yo Cognac Barrel Finished","9.01","0.29","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate Bourbon (all ages)","8.99","0.28","13","$$$$","Bourbon-like","","","USA","Bourbon"
"Old Rip Van Winkle 10yo","8.98","0.23","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Michter's 20yo Single Barrel Bourbon","8.96","0.37","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Blanton's Straight from the Barrel Bourbon","8.95","0.28","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Single Barrel","8.95","0.31","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Angel's Envy Cask Strength","8.94","0.36","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 17yo Bourbon","8.93","0.54","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 11yo Bourbon","8.92","0.14","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Jack Daniel's 150th Anniversary","8.91","0.32","3","$$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout Single Barrel Bourbon","8.89","0.25","5","$$$$","Bourbon-like","","","USA","Bourbon"
"Stagg Jr (batches 3-6)","8.89","0.18","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 14yo Bourbon","8.88","0.44","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Elijah Craig Barrel Proof","8.87","0.23","9","$$$$","Bourbon-like","","","USA","Bourbon"
"J.P. Wiser's Last Barrels","8.87","0.28","9","$$$","Bourbon-like","","","Canada","Blend"
"W.L. Weller 12yo","8.87","0.24","12","$$$$$","Bourbon-like","","","USA","Bourbon"
"1792 Full Proof Bourbon","8.86","0.32","5","$$$","Bourbon-like","","","USA","Bourbon"
"Booker's Small Batch Straight Bourbon","8.86","0.28","16","$$$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Barrel Proof","8.85","0.21","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's 18yo Presidential Select","8.85","0.45","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Eagle Rare 17yo","8.83","0.35","12","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Michter's 10yo Single Barrel Bourbon","8.83","0.32","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Russell's Reserve Single Barrel","8.82","0.47","8","$$$$","Bourbon-like","","","USA","Bourbon"
"Henry McKenna 10yo Single Barrel BiB","8.81","0.21","9","$$","Bourbon-like","","","USA","Bourbon"
"Baker’s Kentucky Straight Bourbon 7yo","8.80","0.28","19","$$$","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 13yo Bourbon","8.78","0.43","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Maker's Mark 46","8.77","0.33","15","$$$","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 8th 13yo Wheat Whiskey","8.77","0.55","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Woodford Reserve Double Oaked","8.77","0.28","11","$$$$","Bourbon-like","","","USA","Bourbon"
"Angel’s Envy Rye Whiskey (Rum-finished)","8.76","0.57","8","$$$$","Bourbon-like","","","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)","8.75","0.03","3","$$$$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Single Barrel Reserve Bourbon","8.75","0.29","11","$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester 1920 Prohibition Style","8.75","0.30","4","$$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester Birthday (2012-2016)","8.75","0.15","9","$$$$$","Bourbon-like","","","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 23yo","8.74","0.52","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Wild Turkey Rare Breed","8.73","0.32","15","$$$","Bourbon-like","","","USA","Bourbon"
"Yellowstone 2016 Limited Edition","8.73","0.45","3","$$$$$","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 18yo","8.72","0.47","11","$$$$$","Bourbon-like","","","USA","Bourbon"
"Elmer T. Lee Single Barrel Bourbon","8.72","0.40","12","$$$","Bourbon-like","","","USA","Bourbon"
"Orphan Barrel Barterhouse Bourbon 20yo","8.72","0.40","12","$$$$$","Bourbon-like","","","USA","Bourbon"
"Evan Williams Single Barrel","8.71","0.24","15","$$","Bourbon-like","","","USA","Bourbon"
"Four Roses Single Barrel Bourbon","8.71","0.32","18","$$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark Cask Strength","8.71","0.38","9","$$$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Gold Kentucky Straight Bourbon","8.70","0.41","14","$$$$","Bourbon-like","","","USA","Bourbon"
"Old Weller Antique 107","8.69","0.41","10","$$","Bourbon-like","","","USA","Bourbon"
"Van Winkle Special Reserve 12yo Lot B","8.69","0.18","7","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Elijah Craig 12yo","8.68","0.27","21","$$","Bourbon-like","","","USA","Bourbon"
"Koval Single Barrel Bourbon","8.67","0.33","7","$$$","Bourbon-like","","","USA","Bourbon"
"1792 Sweet Wheat Bourbon","8.66","0.21","7","$$$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Single Barrel","8.65","0.22","4","$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Single Barrel Bourbon","8.64","0.31","18","$$$","Bourbon-like","","","USA","Bourbon"
"FEW Bourbon","8.64","0.19","7","$$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Ocean Aged at Sea","8.64","0.38","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 10th 24yo Kentucky Straight Bourbon","8.64","0.96","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Pot Still Reserve","8.64","0.51","9","$$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 114","8.63","0.24","9","$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout 10yo Bourbon","8.63","0.43","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Corner Creek Reserve Bourbon Whiskey","8.61","0.36","7","$$","Bourbon-like","","","USA","Bourbon"
"Jack Daniel's Master Distiller (all series)","8.61","0.21","4","$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch 9yo Bourbon","8.61","0.40","21","$$","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 9yo Bourbon","8.61","0.32","3","$$$$","Bourbon-like","","","USA","Bourbon"
"1792 Single Barrel Bourbon","8.60","0.38","4","$$$","Bourbon-like","","","USA","Bourbon"
"1792 Small Batch Bourbon","8.60","0.40","15","$$","Bourbon-like","","","USA","Bourbon"
"Ancient Age 10yo Kentucky Straight Bourbon","8.60","0.39","5","$","Bourbon-like","","","USA","Bourbon"
"Colonel EH Taylor Small Batch (BiB)","8.60","0.29","11","$$$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam 12yo Signature Craft","8.60","0.28","9","$$","Bourbon-like","","","USA","Bourbon"
"Buffalo Trace Bourbon","8.58","0.41","19","$$","Bourbon-like","","","USA","Bourbon"
"Eagle Rare 10yo","8.58","0.33","21","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Bonded","8.58","0.35","8","$$","Bourbon-like","","","USA","Bourbon"
"Stranahan's Colorado Whiskey","8.58","0.32","13","$$$$","Bourbon-like","","","USA","Bourbon"
"Stagg Jr (all batches)","8.57","0.4","16","$$$$","Bourbon-like","","","USA","Bourbon"
"Bulleit 10yo","8.55","0.37","13","$$$","Bourbon-like","","","USA","Bourbon"
"Russell's Reserve Small Batch 10yo Bourbon","8.55","0.29","14","$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Ocean","8.54","0.19","6","$$","Bourbon-like","","","USA","Bourbon"
"Koval Single Barrel Four Grain","8.54","0.19","5","$$$$","Bourbon-like","","","USA","Grain"
"Jefferson's Reserve Very Old Kentucky Straight Bourbon","8.53","0.36","7","$$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout 7yo Bourbon","8.52","0.38","9","$$$","Bourbon-like","","","USA","Bourbon"
"Heaven Hill 6yo BiB","8.50","0.07","5","$","Bourbon-like","","","USA","Bourbon"
"Michter's Small Batch Bourbon","8.50","0.30","12","$$$","Bourbon-like","","","USA","Bourbon"
"Four Roses Small Batch Bourbon","8.48","0.42","13","$$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 101 Bourbon","8.47","0.42","18","$$","Bourbon-like","","","USA","Bourbon"
"1792 Port Finished Bourbon","8.46","0.11","4","$$$","Bourbon-like","","","USA","Bourbon"
"Angel's Envy Bourbon (Port-finished)","8.46","0.45","13","$$$","Bourbon-like","","","USA","Bourbon"
"Bernheim Original Straight Wheat 7yo Small Batch","8.46","0.54","18","$$","Bourbon-like","","","USA","Wheat"
"Jack Daniel's Single Barrel","8.45","0.41","14","$$$","Bourbon-like","","","USA","Bourbon"
"Stagg Jr (batches 1-2)","8.45","0.38","13","$$$$","Bourbon-like","","","USA","Bourbon"
"Very Old Barton 6yo","8.45","0.37","6","$","Bourbon-like","","","USA","Bourbon"
"Old Fitzgerald Kentucky Straight Bourbon","8.43","0.52","6","$$","Bourbon-like","","","USA","Bourbon"
"Michter's Toasted Barrel","8.41","0.16","5","$$$$","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 9th 8yo Malt Whiskey","8.41","0.55","5","$$$$$","Bourbon-like","","","USA","Bourbon"
"W.L. Weller Special Reserve","8.41","0.37","11","$","Bourbon-like","","","USA","Bourbon"
"Bulleit Bourbon","8.40","0.35","21","$$","Bourbon-like","","","USA","Bourbon"
"Woodford Reserve bourbon","8.4","0.33","19","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Distillers Masterpiece PX Sherry Cask Finish","8.39","0.36","4","$$$$$","Bourbon-like","","","USA","Bourbon"
"Larceny Small Batch Bourbon","8.38","0.25","10","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 100 BiB","8.38","0.53","9","$$","Bourbon-like","","","USA","Bourbon"
"Basil Hayden’s Kentucky Bourbon","8.37","0.25","15","$$$","Bourbon-like","","","USA","Bourbon"
"Michter's Sour Mash","8.37","0.10","3","$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester Signature (100 Proof)","8.36","0.40","8","$$","Bourbon-like","","","USA","Bourbon"
"Yellowstone 2015 Limited Edition","8.36","0.65","4","$$$$$","Bourbon-like","","","USA","Bourbon"
"Very Old Barton 6yo BiB","8.35","0.38","3","$$","Bourbon-like","","","USA","Bourbon"
"Evan Williams Bottled in Bond (White label)","8.32","0.52","9","$","Bourbon-like","","","USA","Bourbon"
"Balcones Baby Blue","8.30","0.73","11","$$$$","Bourbon-like","","","USA","Whiskey"
"Bib & Tucker 6yo Bourbon","8.27","0.16","3","$$$","Bourbon-like","","","USA","Bourbon"
"George Dickel No.12","8.27","0.44","15","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Black Label","8.27","0.29","15","$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark","8.24","0.43","22","$$","Bourbon-like","","","USA","Bourbon"
"Blanton's Special Reserve","8.23","0.28","5","$$$","Bourbon-like","","","USA","Bourbon"
"High West American Prairie","8.23","0.85","5","$$$","Bourbon-like","","","USA","Bourbon"
"Four Roses (Yellow Label)","8.22","0.34","11","$","Bourbon-like","","","USA","Bourbon"
"Koval Single Barrel Millet Whiskey","8.21","0.31","5","$$$","Bourbon-like","","","USA","Grain"
"Evan Williams (Black Label)","8.19","0.40","14","$","Bourbon-like","","","USA","Bourbon"
"Heaven Hill Trybox Series New Make","8.19","0.28","3","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Double Oak","8.19","0.44","7","$$","Bourbon-like","","","USA","Bourbon"
"Yellowstone Select","8.19","0.26","3","$$$","Bourbon-like","","","USA","Bourbon"
"Evan Williams 1783 Small Batch","8.18","0.39","4","$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 81 Bourbon","8.18","0.38","13","$","Bourbon-like","","","USA","Bourbon"
"Tincup American Whiskey","8.16","0.32","7","$$","Bourbon-like","","","USA","Bourbon"
"Old Forester","8.12","0.43","11","$$","Bourbon-like","","","USA","Bourbon"
"Old Forester 1897 BiB","8.12","0.60","4","$$$","Bourbon-like","","","USA","Bourbon"
"Henry McKenna Straight Bourbon","8.08","0.06","3","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Devil's Cut","8.07","0.51","16","$","Bourbon-like","","","USA","Bourbon"
"66 Gilead The Wild Oak","8.06","0.52","6","$$","Bourbon-like","","","Canada","Blend"
"Old Grand-Dad Bourbon (80/86 Proof)","8.06","0.49","10","$$","Bourbon-like","","","USA","Bourbon"
"Jack Daniel's Old No. 7","8.03","0.39","13","$$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 81 Rye","8.03","0.17","6","$$","Bourbon-like","","","USA","Bourbon"
"Jack Daniel's No. 27 Gold Double Barrelled","8.02","0.10","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Old Fitzgerald BiB","7.99","0.35","4","$$$","Bourbon-like","","","USA","Bourbon"
"Jack Daniel's Gentleman Jack","7.94","0.34","12","$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Very Small Batch Bourbon","7.91","0.72","8","$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout Yearling Bourbon","7.91","1.21","3","$$$","Bourbon-like","","","USA","Bourbon"
"Heaven Hill Old Syle Bourbon (white label)","7.86","0.45","5","$","Bourbon-like","","","USA","Bourbon"
"Mellow Corn BiB","7.86","0.45","11","$","Bourbon-like","","","USA","Bourbon"
"Redemption High Rye Bourbon","7.82","0.42","4","$$","Bourbon-like","","","USA","Bourbon"
"Ancient Age Kentucky Straight Bourbon","7.70","0.60","7","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam White Label","7.67","0.45","17","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Distillers Series","7.66","1.58","4","$$","Bourbon-like","","","USA","Bourbon"
"Virginia Black","7.65","0.96","5","$$","Bourbon-like","","","USA","Bourbon"
"Rebel Yell Kentucky Bourbon","7.60","0.58","11","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Red Stag (Black Cherry)","7.44","0.99","4","$","Bourbon-like","","","USA","Flavoured"
